symbol,timestamp,open,high,low,close,volume
USDC,7/7/2019,1.0001,1.0013,0.9935,0.994,6616600.56
USDC,7/8/2019,0.994,0.9983,0.9915,0.9967,9984318.89
USDC,7/9/2019,0.9967,1.0032,0.9911,0.9975,15322363.68
USDC,7/10/2019,0.9981,1.007,0.9968,1.0008,19906058.42
USDC,7/11/2019,1.0008,1.003,0.996,1.0001,18947193.87
USDC,7/12/2019,1.0001,1.0017,0.9951,0.9973,11852540.08
USDC,7/13/2019,0.9973,1.0038,0.9955,0.9993,9081300.06
USDC,7/14/2019,0.9992,1.006,0.9975,0.9996,11065533.26
USDC,7/15/2019,0.9996,1.0012,0.9971,0.9993,12049760.12
USDC,7/16/2019,0.9991,1.0046,0.9966,1.0008,17828982.94
USDC,7/17/2019,1.0008,1.0016,0.9967,0.9977,14488261.0
USDC,7/18/2019,0.998,1.0016,0.9951,0.9979,13348352.45
USDC,7/19/2019,0.998,1.0011,0.996,0.9979,10230072.41
USDC,7/20/2019,0.9979,0.9999,0.9956,0.9976,8940472.08
USDC,7/21/2019,0.9976,1.0012,0.997,1.0002,5473277.57
USDC,7/22/2019,1.0001,1.0049,0.999,1.0021,8359368.92
USDC,7/23/2019,1.0019,1.0028,0.9993,1.0012,6412648.15
USDC,7/24/2019,1.0012,1.0034,0.9992,0.9998,7205414.34
USDC,7/25/2019,0.9995,1.0006,0.998,0.9997,7650720.64
USDC,7/26/2019,0.9996,1.0009,0.9983,0.9993,5925178.1
USDC,7/27/2019,0.999,1.0045,0.9971,1.001,11882057.72
USDC,7/28/2019,1.001,1.0067,0.9984,1.0006,5926846.69
USDC,7/29/2019,1.0006,1.0071,0.9998,1.0013,8737957.9
USDC,7/30/2019,1.0013,1.0029,0.9975,0.9984,8651603.1
USDC,7/31/2019,0.9982,1.0002,0.9973,0.9989,6968850.85
USDC,8/1/2019,0.9988,1.001,0.9973,0.9974,9762987.32
USDC,8/2/2019,0.9977,1.0012,0.9973,1.0001,11713418.44
USDC,8/3/2019,1.0001,1.0011,0.9975,0.9992,6493167.31
USDC,8/4/2019,0.9992,0.9999,0.9953,0.9964,6945417.93
USDC,8/5/2019,0.9964,1.0009,0.9955,1.0009,14245852.18
USDC,8/6/2019,1.0009,1.005,0.9979,1.0015,15130227.76
USDC,8/7/2019,1.0016,1.0037,1.0,1.0004,12902846.14
USDC,8/8/2019,1.0002,1.0055,1.0001,1.001,10870389.11
USDC,8/9/2019,1.0006,1.0037,1.0001,1.0018,6959527.65
USDC,8/10/2019,1.0018,1.02,1.0002,1.0029,10581354.28
USDC,8/11/2019,1.0026,1.0041,0.9998,1.0007,4800417.6
USDC,8/12/2019,1.0009,1.0029,1.0002,1.0015,6870872.53
USDC,8/13/2019,1.0015,1.0068,1.0007,1.0036,5821445.56
USDC,8/14/2019,1.0033,1.0073,1.0017,1.0034,9472276.99
USDC,8/15/2019,1.0034,1.0067,1.0001,1.0007,10534796.46
USDC,8/16/2019,1.0011,1.0062,0.9985,0.9993,10304513.6
USDC,8/17/2019,0.9995,1.0015,0.9985,1.0003,5134201.42
USDC,8/18/2019,1.0007,1.001,0.9983,0.9991,4024116.1
USDC,8/19/2019,0.999,1.0006,0.9974,0.9992,6631372.44
USDC,8/20/2019,0.9992,1.0017,0.9987,0.9996,6453603.27
USDC,8/21/2019,0.9998,1.0041,0.9993,1.0013,7247242.92
USDC,8/22/2019,1.0016,1.0025,0.9987,0.9991,6360820.61
USDC,8/23/2019,0.9993,1.0006,0.9976,0.9987,8450787.08
USDC,8/24/2019,0.9987,1.0005,0.9973,0.999,5440055.32
USDC,8/25/2019,0.9991,1.0015,0.9981,1.0001,7119510.64
USDC,8/26/2019,1.0001,1.0032,0.9971,1.0017,12051768.33
USDC,8/27/2019,1.002,1.0029,1.0,1.001,5133894.5
USDC,8/28/2019,1.0011,1.0077,1.0004,1.0006,15425569.34
USDC,8/29/2019,1.0006,1.0024,0.9996,1.0004,6984424.27
USDC,8/30/2019,1.0004,1.0018,0.9987,0.9993,6353142.03
USDC,8/31/2019,0.9993,1.0005,0.999,0.9994,3641837.12
USDC,9/1/2019,0.9993,1.0,0.9975,0.9976,4483868.19
USDC,9/2/2019,0.9976,1.001,0.9965,0.9977,13709777.61
USDC,9/3/2019,0.9975,1.0002,0.997,0.9984,12858614.44
USDC,9/4/2019,0.9985,1.0003,0.9972,0.9988,12886087.91
USDC,9/5/2019,0.9991,1.0011,0.9982,0.9992,6364738.93
